gene	time	log2_expr_level	term	estimate	std.error	statistic	p.value	conf.low	conf.high	identified_as
MORF4L1	24	-0.49099716400134064	time	-0.022847283533625386	0.0025171109775561193	-9.07678832492637	0.011921069906036115	-0.03367753795228956	-0.012017029114961213	Significant
MORF4L2	2	-0.016048705237827754	time	-0.03159407592939132	0.012926939576824954	-2.4440491689179296	0.13445668360433835	-0.08721420778692357	0.024026055928140923	Non-significant
MORF4L2	6	0.26450415692300133	time	-0.03159407592939132	0.012926939576824954	-2.4440491689179296	0.13445668360433835	-0.08721420778692357	0.024026055928140923	Non-significant
MORF4L2	10	-0.17877518693423777	time	-0.03159407592939132	0.012926939576824954	-2.4440491689179296	0.13445668360433835	-0.08721420778692357	0.024026055928140923	Non-significant
MORF4L2	24	-0.5721410194383525	time	-0.03159407592939132	0.012926939576824954	-2.4440491689179296	0.13445668360433835	-0.08721420778692357	0.024026055928140923	Non-significant
MOSPD2	2	0.016833353158597575	time	-0.0034877147026738894	0.0011882968980968967	-2.9350532752038645	0.09912311005784176	-0.00860054359502332	0.0016251141896755409	Non-significant
MOSPD2	6	0.007895892456870612	time	-0.0034877147026738894	0.0011882968980968967	-2.9350532752038645	0.09912311005784176	-0.00860054359502332	0.0016251141896755409	Non-significant
MOSPD2	10	0.023501662143500468	time	-0.0034877147026738894	0.0011882968980968967	-2.9350532752038645	0.09912311005784176	-0.00860054359502332	0.0016251141896755409	Non-significant
MOSPD2	24	-0.05694486624144979	time	-0.0034877147026738894	0.0011882968980968967	-2.9350532752038645	0.09912311005784176	-0.00860054359502332	0.0016251141896755409	Non-significant
MOV10	2	0.03325330814504923	time	0.0017899308075852757	0.00149685628071508	1.1957933641633167	0.35432491005966815	-0.00465052195467609	0.008230383569846641	Non-significant
MOV10	6	-0.003475787897860627	time	0.0017899308075852757	0.00149685628071508	1.1957933641633167	0.35432491005966815	-0.00465052195467609	0.008230383569846641	Non-significant
MOV10	10	0.04571478723313582	time	0.0017899308075852757	0.00149685628071508	1.1957933641633167	0.35432491005966815	-0.00465052195467609	0.008230383569846641	Non-significant
MOV10	24	0.05793336588111586	time	0.0017899308075852757	0.00149685628071508	1.1957933641633167	0.35432491005966815	-0.00465052195467609	0.008230383569846641	Non-significant
MPC2	2	0.06818888568897119	time	-0.0014806635701792705	0.007621546633921062	-0.19427337275472556	0.8639060979335622	-0.03427353199953256	0.03131220485917401	Non-significant
MPC2	6	-0.16287830964496575	time	-0.0014806635701792705	0.007621546633921062	-0.19427337275472556	0.8639060979335622	-0.03427353199953256	0.03131220485917401	Non-significant
MPC2	10	0.043209692531007704	time	-0.0014806635701792705	0.007621546633921062	-0.19427337275472556	0.8639060979335622	-0.03427353199953256	0.03131220485917401	Non-significant
MPC2	24	-0.039920333376287864	time	-0.0014806635701792705	0.007621546633921062	-0.19427337275472556	0.8639060979335622	-0.03427353199953256	0.03131220485917401	Non-significant
MPG	2	-0.3337855730679742	time	-0.004995598462405892	0.02281581898374715	-0.21895328263098976	0.8469995214798247	-0.10316414429429517	0.09317294736948338	Non-significant
MPG	6	0.25906864499529014	time	-0.004995598462405892	0.02281581898374715	-0.21895328263098976	0.8469995214798247	-0.10316414429429517	0.09317294736948338	Non-significant
MPG	10	-0.4509952802757917	time	-0.004995598462405892	0.02281581898374715	-0.21895328263098976	0.8469995214798247	-0.10316414429429517	0.09317294736948338	Non-significant
MPG	24	-0.24227079154803643	time	-0.004995598462405892	0.02281581898374715	-0.21895328263098976	0.8469995214798247	-0.10316414429429517	0.09317294736948338	Non-significant
MPHOSPH10	2	-0.020572606231855417	time	0.002792159779947619	7.822629386364306e-4	3.5693366540087625	0.07031386978845308	-5.736459883582548e-4	0.006157965548253493	Non-significant
MPHOSPH10	6	0.005036737967035521	time	0.002792159779947619	7.822629386364306e-4	3.5693366540087625	0.07031386978845308	-5.736459883582548e-4	0.006157965548253493	Non-significant
MPHOSPH10	10	0.02602385932905449	time	0.002792159779947619	7.822629386364306e-4	3.5693366540087625	0.07031386978845308	-5.736459883582548e-4	0.006157965548253493	Non-significant
MPHOSPH10	24	0.04656696570600083	time	0.002792159779947619	7.822629386364306e-4	3.5693366540087625	0.07031386978845308	-5.736459883582548e-4	0.006157965548253493	Non-significant
MPHOSPH6	2	-0.0769319320574624	time	0.006452669702718999	0.003368661010594912	1.9154998625342374	0.1955046379565411	-0.00804150879011778	0.020946848195555777	Non-significant
MPHOSPH6	6	-0.06382705796931276	time	0.006452669702718999	0.003368661010594912	1.9154998625342374	0.1955046379565411	-0.00804150879011778	0.020946848195555777	Non-significant
MPHOSPH6	10	0.060597123869465364	time	0.006452669702718999	0.003368661010594912	1.9154998625342374	0.1955046379565411	-0.00804150879011778	0.020946848195555777	Non-significant
MPHOSPH6	24	0.06397329976534216	time	0.006452669702718999	0.003368661010594912	1.9154998625342374	0.1955046379565411	-0.00804150879011778	0.020946848195555777	Non-significant
MPHOSPH8	2	0.10621128739991992	time	-0.006424784411857749	0.006659964131726456	-0.9646875395697151	0.4364833369007136	-0.03508029726326409	0.022230728439548594	Non-significant
MPHOSPH8	6	-0.07080287758484882	time	-0.006424784411857749	0.006659964131726456	-0.9646875395697151	0.4364833369007136	-0.03508029726326409	0.022230728439548594	Non-significant
MPHOSPH8	10	0.11713100003901733	time	-0.006424784411857749	0.006659964131726456	-0.9646875395697151	0.4364833369007136	-0.03508029726326409	0.022230728439548594	Non-significant
MPHOSPH8	24	-0.08326423847954612	time	-0.006424784411857749	0.006659964131726456	-0.9646875395697151	0.4364833369007136	-0.03508029726326409	0.022230728439548594	Non-significant
MPI	2	0.06293045614218862	time	-7.763624271254533e-4	0.0017201201328147747	-0.45134198031565814	0.6959615218993555	-0.008177442012077952	0.006624717157827045	Non-significant
MPI	6	0.012190316246645239	time	-7.763624271254533e-4	0.0017201201328147747	-0.45134198031565814	0.6959615218993555	-0.008177442012077952	0.006624717157827045	Non-significant
MPI	10	0.060070468266685495	time	-7.763624271254533e-4	0.0017201201328147747	-0.45134198031565814	0.6959615218993555	-0.008177442012077952	0.006624717157827045	Non-significant
MPI	24	0.030096360517951837	time	-7.763624271254533e-4	0.0017201201328147747	-0.45134198031565814	0.6959615218993555	-0.008177442012077952	0.006624717157827045	Non-significant
MPP5	2	0.012010078497795007	time	-0.013660459309514397	0.004933199489571021	-2.7690871488966033	0.10942230207675749	-0.0348863035597158	0.007565384940687009	Non-significant
MPP5	6	0.11364048298538698	time	-0.013660459309514397	0.004933199489571021	-2.7690871488966033	0.10942230207675749	-0.0348863035597158	0.007565384940687009	Non-significant
MPP5	10	-0.059387348766124504	time	-0.013660459309514397	0.004933199489571021	-2.7690871488966033	0.10942230207675749	-0.0348863035597158	0.007565384940687009	Non-significant
MPP5	24	-0.235026084728446	time	-0.013660459309514397	0.004933199489571021	-2.7690871488966033	0.10942230207675749	-0.0348863035597158	0.007565384940687009	Non-significant
MPRIP	2	0.028214111880426884	time	0.004887035451256113	0.0036311810163492985	1.3458528862241685	0.31061808868290597	-0.01073667546095362	0.020510746363465848	Non-significant
MPRIP	6	0.043067338709644076	time	0.004887035451256113	0.0036311810163492985	1.3458528862241685	0.31061808868290597	-0.01073667546095362	0.020510746363465848	Non-significant
MPRIP	10	-0.03424799155833114	time	0.004887035451256113	0.0036311810163492985	1.3458528862241685	0.31061808868290597	-0.01073667546095362	0.020510746363465848	Non-significant
MPRIP	24	0.13040249840691054	time	0.004887035451256113	0.0036311810163492985	1.3458528862241685	0.31061808868290597	-0.01073667546095362	0.020510746363465848	Non-significant
MPST	2	0.027272551047254012	time	-3.662898616981119e-4	0.002141180192235786	-0.171069143562195	0.8799112467759922	-0.009579044660706896	0.00884646493731067	Non-significant
MPST	6	-0.021336339263610782	time	-3.662898616981119e-4	0.002141180192235786	-0.171069143562195	0.8799112467759922	-0.009579044660706896	0.00884646493731067	Non-significant
MPST	10	0.04624622540592327	time	-3.662898616981119e-4	0.002141180192235786	-0.171069143562195	0.8799112467759922	-0.009579044660706896	0.00884646493731067	Non-significant
MPST	24	0.004310856144547515	time	-3.662898616981119e-4	0.002141180192235786	-0.171069143562195	0.8799112467759922	-0.009579044660706896	0.00884646493731067	Non-significant
MPZL1	2	-0.07959887495922935	time	0.0072778781640730475	0.003805021875129714	1.912703370154723	0.1959195763920777	-0.009093809593710232	0.023649565921856328	Non-significant
MPZL1	6	0.07055312177431361	time	0.0072778781640730475	0.003805021875129714	1.912703370154723	0.1959195763920777	-0.009093809593710232	0.023649565921856328	Non-significant
MPZL1	10	0.05759583229147136	time	0.0072778781640730475	0.003805021875129714	1.912703370154723	0.1959195763920777	-0.009093809593710232	0.023649565921856328	Non-significant
MPZL1	24	0.12378614978494706	time	0.0072778781640730475	0.003805021875129714	1.912703370154723	0.1959195763920777	-0.009093809593710232	0.023649565921856328	Non-significant
MPZL2	2	0.16506850819841468	time	-0.02245035322520407	0.002438429723492455	-9.206889585093075	0.011592334570019394	-0.032942069531291106	-0.011958636919117032	Significant
MPZL2	6	0.1529243357381489	time	-0.02245035322520407	0.002438429723492455	-9.206889585093075	0.011592334570019394	-0.032942069531291106	-0.011958636919117032	Significant
MPZL2	10	0.03579415018081811	time	-0.02245035322520407	0.002438429723492455	-9.206889585093075	0.011592334570019394	-0.032942069531291106	-0.011958636919117032	Significant
MPZL2	24	-0.30108949861722323	time	-0.02245035322520407	0.002438429723492455	-9.206889585093075	0.011592334570019394	-0.032942069531291106	-0.011958636919117032	Significant
MRC2	2	-0.11137636904367376	time	0.015336048510709592	0.01610223291284477	0.9524175059271444	0.441404477013279	-0.05394626788680358	0.08461836490822276	Non-significant
MRC2	6	0.4105986720626804	time	0.015336048510709592	0.01610223291284477	0.9524175059271444	0.441404477013279	-0.05394626788680358	0.08461836490822276	Non-significant
MRC2	10	0.0075961950776530784	time	0.015336048510709592	0.01610223291284477	0.9524175059271444	0.441404477013279	-0.05394626788680358	0.08461836490822276	Non-significant
MRC2	24	0.37942269076998514	time	0.015336048510709592	0.01610223291284477	0.9524175059271444	0.441404477013279	-0.05394626788680358	0.08461836490822276	Non-significant
MRE11	2	-0.06401312343824905	time	0.0022313520057066333	0.002016610839133896	1.1064861709584808	0.38379178416111803	-0.006445424126135177	0.010908128137548444	Non-significant
MRE11	6	-0.0019381526876962596	time	0.0022313520057066333	0.002016610839133896	1.1064861709584808	0.38379178416111803	-0.006445424126135177	0.010908128137548444	Non-significant
MRE11	10	0.010695984996832664	time	0.0022313520057066333	0.002016610839133896	1.1064861709584808	0.38379178416111803	-0.006445424126135177	0.010908128137548444	Non-significant
