"","Control 2h","Control 2h_2","Control 2h_3","Control 6h_1","Control 6h_2","Control 6h_3","Control 10h_1","Control 10h_2","Control 10h_3","Control 24h_1","Control 24h_2","Control 24h_3","Virus 2h_1","Virus 2h_2","Virus 2h_3","Virus 6h_1","Virus 6h_2","Virus 6h_3","Virus 10h_1","Virus 10h_2","Virus 10h_3","Virus 24h_1","Virus 24h_2","Virus 24h_3"
"TMEM160",111.379,115.348,106.875,99.8553,100.774,94.7386,106.87,118.416,98.9589,117.78,129.967,106.929,111.401,124.538,129.327,103.383,112.486,101.259,122.639,117.295,112.762,111.907,94.7606,84.3099
"TMEM161A",31.8275,39.2937,36.8655,33.6012,33.3207,30.3042,27.4542,33.7067,30.6127,36.295,32.6048,36.475,31.2926,35.7778,39.8065,29.6259,32.4255,27.7907,28.8376,28.8385,36.7325,37.3937,32.2038,38.7294
"TMEM164",134.756,127.537,138.739,131.198,133.905,128.101,128.331,121.992,122.545,131.869,124.618,124.172,136.647,126.97,144.013,133.339,122.728,133.241,133.452,123.18,120.901,115.38,111.837,122.798
"TMEM165",259.73,272.772,261.734,257.169,254.278,254.88,252.579,249.04,248.122,239.784,243.949,246.257,247.801,249.042,243.963,248.711,248.445,252.553,248.95,239.339,244.685,279.391,276.609,266.409
"TMEM167A",88.6049,79.4425,98.491,79.1156,72.8503,82.6593,85.7302,77.1297,90.017,93.3947,77.6975,85.1619,88.3639,76.5641,97.3427,84.6024,73.791,87.7512,89.5078,79.9464,99.7446,72.8796,72.075,85.7968
"TMEM167B",133.68,128.179,137.286,143.308,139.358,152.828,130.789,135.171,136.934,134.724,130.479,134.027,142.466,144.752,136.811,133.49,139.954,140.374,142.405,146.718,144.42,136.781,138.479,144.307
"TMEM176B",37.1849,35.3268,33.4129,44.0533,42.5047,39.9162,37.9516,37.3919,42.353,39.0322,37.8359,35.3929,38.4201,42.4268,31.4312,38.2023,37.458,37.8019,42.757,42.055,41.4141,35.6975,43.6079,30.1471
"TMEM179B",69.9056,87.5661,77.5127,72.2075,75.0569,76.1162,79.4815,78.5614,79.379,79.9564,81.0109,74.7336,78.6872,73.7733,71.5242,78.7764,77.6018,82.7944,76.8993,78.1557,73.6193,75.0209,73.5831,74.6275
"TMEM181",127.407,138.377,119.34,130.541,148.184,142.243,130.006,133.016,140.13,132.887,138.678,123.352,152.687,152.813,130.951,141.366,158.438,137.301,130.728,149.318,156.508,148.539,145.374,137.164
"TMEM184C",53.4011,39.3343,45.2896,43.1078,31.494,35.4532,47.4648,53.9953,49.3048,48.9209,31.25,36.6446,44.268,35.516,34.4954,48.2018,36.2084,35.2332,47.8713,29.2318,36.5744,46.799,32.1789,38.0147
"TMEM186",81.3037,90.543,83.8822,89.0365,89.633,85.967,80.5007,86.599,86.8545,92.9622,95.4341,90.2925,84.3673,93.372,82.7391,88.4025,87.4227,74.3267,90.5841,94.7823,90.6194,88.915,87.7432,81.7251
"TMEM189",21.4266,19.3006,15.4301,18.2608,18.2157,17.1062,18.7486,22.9422,13.8919,19.708,17.6263,16.4743,26.4059,15.7164,15.3253,17.2555,20.1246,14.3175,18.2712,20.3294,19.4029,18.0415,19.6114,20.8586
"TMEM19",101.931,108.867,122.257,96.142,94.9944,100.297,87.1237,104.669,94.3598,93.4812,108.473,100.113,103.396,106.634,107.855,100.916,108.002,105.205,103.43,105.13,100.811,95.8496,115.54,111.986
"TMEM192",235.907,280.95,259.569,243.807,239.738,227.22,251.387,242.843,237.702,262.734,273.168,238.864,245.364,226.712,237.242,238.591,241.747,225.816,243.078,245.939,246.649,273.585,264.139,257.376
"TMEM205",133.505,147.302,151.65,131.254,144.959,148.869,132.195,151.118,137.014,142.983,153.394,150.785,145.347,161.239,160.543,137.583,172.042,155.579,137.597,159.454,138.181,152.77,167.201,156.772
"TMEM208",60.4615,63.787,63.8787,61.3699,59.3435,59.6978,60.1826,57.9051,61.4366,66.0555,66.8837,66.9929,57.8945,66.2275,66.6122,64.2253,58.8707,62.9903,64.3889,61.5441,66.9182,71.1937,62.063,75.5639
"TMEM209",45.3494,53.2538,57.0681,54.5713,65.9933,55.5029,43.0638,52.5244,59.4436,46.3063,50.2137,53.3625,46.9145,57.7838,65.3234,49.592,56.6281,58.0844,44.1725,54.0257,58.8018,45.3322,59.7584,53.8609
"TMEM214",938.892,871.422,919.058,872.42,857.498,912.252,897.041,834.335,897.178,866.644,834.541,860.53,954.061,939.351,921.124,922.931,886.887,887.605,900.373,878.685,927.229,914.248,854.185,815.253
"TMEM230",145.696,138.391,153.45,137.273,124.865,139.183,149.144,128.392,133.676,149.05,150.336,153.48,144.672,148.09,152.109,145.074,135.623,137.033,147.853,139.168,138.206,113.975,117.839,126.37
"TMEM238",61.268,49.1963,54.4074,40.975,41.6333,47.75,52.9241,52.0596,56.3438,47.7497,49.7361,49.6328,43.8084,46.5901,41.8616,39.6635,45.7561,46.5604,44.8626,44.16,42.6078,54.9696,43.8626,43.8201
"TMEM245",228.756,241.741,221.67,256.147,256.678,219.862,261.252,258.116,239.017,242.335,235.651,219.001,243.032,244.122,233.795,238.907,255.096,240.586,236.054,258.616,243.437,233.115,237.416,231.353
"TMEM259",27.3728,33.6772,32.7741,26.8846,33.8923,29.8154,29.8238,33.9334,33.3307,29.0273,36.3197,33.6259,26.4714,35.8112,35.9303,21.4155,34.8844,32.7903,29.702,36.6603,30.639,25.7739,29.7883,28.4884
"TMEM263",279.715,299.908,275.581,305.962,307.414,299.28,317.384,300.28,309.598,288.55,298.504,324.775,304.757,295.771,299.444,296.39,294.836,303.627,332.274,360.713,412.477,242.114,227.775,239.807
"TMEM30A",367.979,416.401,412.917,376.975,432.654,420.064,391.364,419.094,410.115,393.249,457.984,416.327,392.485,448,434.161,398.066,468.454,433.803,403.389,463.135,404.324,350.397,373.567,370.125
"TMEM30B",153.297,126.701,146.716,135.52,139.661,146.831,143.36,134.358,137.396,151.858,128.569,141.059,136.322,128.433,142.063,137.893,129.122,146.882,128.752,128.245,134.809,143.783,125.588,154.741
"TMEM33",1081.47,1058.7,1114.65,1092.45,1089.61,1102.1,1069.79,1003.14,1012.69,1005.89,1010.49,1013.95,1065.6,1060.99,1073.76,1053.6,1060.43,1035.89,1037.02,1071.98,1047.62,993.603,994.357,1002.28
"TMEM35B",80.617,79.3231,75.5876,62.7799,63.0568,77.1116,87.9029,70.63,83.273,69.8206,73.5558,80.731,68.4945,66.8419,68.9109,85.481,75.2957,74.5287,53.6187,59.1483,76.0002,77.0106,69.8633,63.7191
"TMEM38B",184.771,206.865,259.916,211.586,206.111,211.767,201.643,189.855,179.854,243.639,214.5,194.188,191.46,210.969,250.821,194.709,206.635,200.974,190.682,209.492,192.541,226.756,192.489,177.227
"TMEM41A",229.069,226.338,232.366,215.241,192.902,217.277,211.278,197.684,225.228,226.055,217.048,218.362,235.099,224.126,215.424,225.639,211.167,227.999,219.887,191.679,231.196,221.347,184.177,221.683
"TMEM41B",47.5714,40.5006,37.0448,45.2083,34.9126,29.6719,35.0637,38.3716,35.3394,39.6711,41.7549,34.1905,43.7413,46.0118,39.0881,36.7432,35.6632,36.0305,37.0448,42.6,39.1596,33.8323,43.3166,39.6536
"TMEM43",717.172,662.885,628.905,661.105,615.847,614.476,729.11,639.032,642.248,715.868,650.022,656.882,705.468,692.756,646.418,714.132,654.166,658.906,748.685,659.689,644.6,820.82,670.163,705.38
"TMEM45B",360.763,418.132,486.633,339.571,409.035,350.645,327.348,366.508,334.316,281.61,297.884,305.335,333.939,378.101,342.656,350.768,375.79,351.415,325.954,378.32,278.134,265.587,274.966,279.049
"TMEM50A",39.136,36.2406,29.0628,31.0793,27.2249,25.0074,28.9751,36.1623,28.7589,29.0281,24.0889,32.0699,31.9017,33.0438,34.3736,35.91,27.5985,31.3787,35.9142,27.6528,30.9704,31.6767,35.7572,30.0708
"TMEM62",106.54,123.425,110.035,103.853,120.976,104.547,107.014,108.349,106.708,102.762,134.928,109.375,110.274,120.168,99.9484,97.3662,114.771,105.892,108.124,118.679,115.994,108.97,127.6,105.343
"TMEM63A",92.6282,93.9215,97.0179,93.4224,90.1955,101.893,81.3086,89.0927,97.1296,83.7464,84.2885,88.5849,87.7142,95.9569,95.1324,87.6863,90.6155,90.444,85.5843,87.5406,82.6794,86.2194,87.1917,107.426
"TMEM65",148.913,159.448,157.744,136.72,122.436,140.407,141.982,133.29,155.793,140.499,143.961,144.234,159.604,145.941,149.277,133.763,132.079,151.944,141.333,146.33,153.542,130.955,149.024,148.954
"TMEM70",175.223,189.922,187.826,183.722,192.239,190.855,181.652,194.062,182.426,189.168,187.655,206.176,178.434,181.896,194.842,169.194,180.469,196.188,189.606,196.176,187.936,170.751,174.206,197.688
"TMEM87A",504.893,510.302,532.045,474.03,495.2,471.406,467.991,467.175,443.514,463.824,483.737,522.778,482.791,526.795,482.793,489.333,476.423,482.687,487.542,506.464,460.407,459.939,472.093,414.244
"TMEM9",70.5379,75.7045,72.6033,69.1619,57.5941,66.559,64.2292,64.1438,61.9469,68.7021,70.1401,75.6821,73.4036,76.4955,68.2822,65.113,65.5858,71.6744,66.8643,73.0072,69.8876,65.4461,69.0836,73.4539
"TMEM97",617.361,595.698,586.766,607.747,562.362,566.693,575.849,552.283,529.558,618.497,613.014,614.601,623.115,614.116,605.345,607.216,610.796,564.236,585.386,632.572,570.578,642.886,638.444,633.264
"TMF1",940.418,896.003,920.14,922.972,908.848,934.031,956.148,884.587,931.637,854.107,801.38,805.7,997.99,912.92,864.262,963.487,911.135,934.617,941.831,891.116,925.495,878.827,865.452,881.748
"TMLHE",8.97993,16.3339,14.4561,10.8049,16.3138,14.1942,10.6718,10.4657,18.4158,9.23048,17.6391,11.9121,9.61205,15.9932,13.2184,9.00237,17.3531,14.2195,8.84082,14.1492,15.1849,10.4654,12.6071,16.6891
"TMOD1",192.255,197.107,170.958,158.82,177.894,169.528,181.58,173.501,194.044,178.622,192.821,175.074,195.839,190.009,183.191,177.008,181.81,173.992,189.86,198.68,201.619,175.023,200.488,163.707
"TMOD2",85.7976,86.2723,89.9196,71.4335,68.1023,74.9118,70.2014,75.6298,82.2079,69.5951,77.4283,75.325,97.8775,86.6472,99.9548,88.6949,73.6533,85.4821,76.2593,76.7123,85.2383,91.4041,94.4144,87.2441
"TMOD3",2309.07,2286.7,2282.97,2161.44,2223.7,2198.29,2238.39,2203.62,2188.94,2327.17,2179.38,2136.17,2268.82,2284.85,2268.91,2227.33,2269.38,2198.1,2149.41,2186.94,2240.8,2231.43,2148.45,2187.36
"TMPO",2601.7,2523.042,2612.622,2545.09,2464.7,2576.917,2480.881,2479.049,2453.947,2452.906,2368.187,2560.202,2709.04,2591.854,2689.121,2581.912,2529.608,2556.642,2626.836,2554.426,2586.565,2754.472,2661.825,2711.213
"TMPRSS4",10.4031,5.38335,8.53835,6.89425,5.95641,8.57751,8.55118,6.24122,7.98207,11.5823,4.85643,8.87748,10.3067,6.56475,6.75104,9.78505,6.36028,6.43867,12.1818,5.33753,7.6689,8.73507,5.48594,12.913
"TMSB4X",602.742,466.185,367.564,475.358,402.768,355.491,490.487,496.499,503.275,506.208,505.017,481.837,456.39,456.001,407.995,533.472,374.935,392.967,502.979,494.633,590.607,416.931,340.346,369.175
"TMTC3",176.007,200.979,170.904,173.442,188.346,195.638,180.306,187.473,177.663,178.861,186.948,171.501,190.48,206.398,184.298,192.488,192.01,162.095,184.654,192.425,181.175,169.607,165.69,184.045
"TMUB1",227.347,229.456,219.644,199.662,218.822,197.751,214.938,230.913,227.985,225.399,206.028,206.281,239.619,233.882,219.321,228.152,221.219,223.756,219.18,209.201,211.901,226.047,226.889,234.293
"TMX1",1026.77,1077.67,1042.32,976.45,1125.97,1068.26,1024.72,1029.06,1037.46,1016.5,1040.85,1054.97,1025.5,1114.62,1083.35,1033.93,1097.27,1053.62,1028.1,1095.33,1073.48,1057.86,1041.05,1050.69
"TMX2",729.971,724.99,790.062,797.804,729.465,775.869,726.583,723.371,709.885,788.211,803.967,819.225,735.073,726.935,750.946,738.894,716.793,707.941,717.62,733.991,708.624,813.47,844.68,806.091
"TMX3",278.521,274.375,236.096,261.886,236.424,225.703,261.18,258.901,255.28,256.282,260.578,251.951,273.839,275.926,255.731,264.945,263.532,258.132,275.336,274.19,259.678,250.856,303.782,275.747
"TNC",29.1579,42.8646,30.2378,24.7378,31.1846,25.3664,28.051,39.9311,29.2609,27.2532,42.8621,29.3597,28.2563,44.2251,29.7917,30.4907,44.7729,29.6456,24.5871,42.0787,22.8768,33.4089,50.5458,37.6023
"TNFAIP2",43.0508,46.2515,48.904,18.9965,26.1258,26.3356,43.0081,46.3229,47.095,41.8467,42.876,49.522,45.5468,44.643,47.9409,43.2586,47.1867,50.3465,41.8302,42.1862,61.569,34.4431,40.457,43.3209
"TNFAIP8",88.5453,89.0938,83.9188,80.1934,79.5186,82.0745,95.83,89.8727,100.831,95.3474,86.7936,88.7199,99.6613,93.3277,101.593,86.7253,90.3591,90.9851,89.3673,106.109,112.902,118.975,104.51,114.98
"TNKS1BP1",486.442,443.82,414.796,390.777,416.517,406.651,499.814,464.421,453.591,498.615,490.992,434.55,493.25,473.739,450.41,475.567,470.332,429.664,481.07,459.775,438.38,480.267,437.388,407.647
"TNPO1",1969.726,1916.283,2006.655,1804.212,1760.664,1799.032,1891.744,1858.653,1817.964,1895.729,1846.464,1861.555,1874.485,1882.84,1947.251,1920.995,1842.215,1853.169,1948.242,1947.407,1890.206,1944.277,1881.116,1933.795
"TNPO2",234.795,228.327,250.034,233.756,221.691,232.094,232.752,209.488,226.918,244.702,236.454,240.659,237.823,239.899,247.676,236.363,221.949,226.329,251.553,261.407,247.319,265.441,259.289,233.497
"TNPO3",385.85,395.817,407.053,384.891,382.884,348.895,372.336,354.871,339.133,398.053,357.369,349.463,381.159,387.42,428.869,371.928,364.675,376.451,358.124,358.415,342.206,416.553,370.439,319.873
"TNRC18P2",111.11,105.155,117.746,101.701,113.284,110.364,114.223,97.9764,123.256,112.651,104.921,112.659,103.582,115.806,117.647,103.066,103.861,117.907,109.547,116.666,122.672,120.395,99.2029,123.601
"TNS1",103.516,145.206,134.288,96.0212,157.326,131.573,98.9785,139.586,117.943,97.4066,130.666,118.014,104.328,146.036,119.174,109.094,149.449,118.316,95.6149,154.133,132.25,96.7498,128.163,126.723
"TNS3",676.484,621.556,635.109,638.278,623.656,626.258,635.759,594.019,637.422,667.139,632.417,642.013,677.839,636.297,627.562,633.236,581.617,631.717,658.829,600.036,656.408,655.202,598.179,627.612
"TOE1",92.1683,102.165,87.8056,91.6231,105.617,72.4531,94.8758,96.0335,91.6917,92.1835,95.5492,79.1239,84.6909,97.8183,74.6141,104.816,91.1506,85.304,95.0008,96.7287,67.6243,97.2216,108,79.8749
"TOLLIP",465.412,426.455,464.286,519.628,451.659,441.689,506.292,444.364,447.681,522.896,455.45,441.528,486.415,420.41,434.191,471.56,445.1,440.028,498.761,440.734,433.065,526.331,492.875,452.221
"TOM1",774.96,798.039,740.677,757.634,827.245,782.285,838.301,802.996,836.636,884.163,934.784,865.553,805.54,839.518,766.691,818.884,866.122,817.213,823.778,853.825,823.739,686.406,627.885,697.476
"TOM1L1",41.9398,49.1507,52.8089,48.7327,49.3438,56.3431,56.8104,48.4765,52.111,61.4193,56.08,55.4288,48.0541,53.8034,48.9418,53.186,50.877,47.7243,47.8584,51.736,54.3716,54.1975,49.121,49.5361
"TOM1L2",437.395,452.142,428.205,417.725,438.293,452.4,436.779,421.731,461.925,400.451,377.071,394.813,459.272,432.611,437.493,438.077,440.646,426.545,429.254,420.703,485.837,429.611,412.813,420.96
"TOMM20",312.75,302.81,294.85,288.173,295.553,273.684,305.414,306.741,316.506,304.663,295.724,300.133,283.983,287.491,272.441,303.874,305.054,298.006,286.216,283.145,297.242,314.2,349.426,316.863
"TOMM22",212.843,205.439,244.843,204.113,217.031,206.455,215.304,225.606,220.493,215.488,215.91,226.297,193.911,194.409,246.363,193.329,204.164,208.48,203.164,219.25,202.075,229.122,227.948,238.974
"TOMM34",1733.37,1668.936,1804.556,1716.533,1673.396,1689.505,1676.212,1613.998,1597.045,1708.878,1609.339,1661.468,1645.774,1599.927,1730.919,1744.778,1630.531,1641.888,1728.299,1637.648,1531.406,1692.977,1526.489,1533.829
"TOMM40",1851,1693.88,1813.45,1841.35,1677.07,1753.39,1757.56,1678.45,1663.69,1841.42,1663.88,1713.95,1784.6,1721.91,1757.55,1789.16,1633.5,1713.87,1843.52,1716.18,1669.24,1967.01,1806.6,1921.81
"TOMM40L",63.2557,58.9243,66.9465,57.9149,49.4238,51.9733,58.4615,52.5808,54.0796,53.8692,58.3024,57.1605,58.2181,55.0931,62.5117,53.4807,50.9279,56.5506,61.7642,59.7635,55.5243,63.2579,59.5781,64.6517
"TOMM5",887.162,880.474,868.358,835.72,876.127,824.321,872.854,823.693,745.498,890.78,865.658,820.64,864.724,836.888,828.359,869.271,871.453,799.096,847.732,821.972,785.749,939.538,946.424,959.391
"TOMM7",359.52,345.354,354.874,337.588,318.839,322.829,337.617,294.534,304.909,362.136,346.594,334.079,356.504,360.485,350.783,356.732,336.363,325.11,360.208,347.768,329.201,370.29,358.361,339.099
"TOMM70",3237.04,3243.85,3310.93,3200.08,3238.73,3155.48,3214.05,3102.26,3076.95,3198.37,3122.21,3104.86,3142.6,3166.35,3306.27,3324.54,3168.76,3135.47,3283.06,3199.69,3058.07,3473.62,3380.18,3362.15
"TONSL",21.0101,22.3861,16.4039,15.2661,22.4558,13.6915,17.7756,16.5924,21.9104,24.8045,20.1772,19.1319,19.1932,24.6944,26.1336,21.097,25.3262,18.1091,17.9187,19.872,13.3911,19.5584,12.6021,16.0869
"TOP1",6657.47,6622.58,6691.48,6861.19,6700.56,6773.61,6746.46,6812.81,6642.01,6523.85,6398.91,6592.88,6431.33,6533.4,6615.93,6856.47,6579.63,6682.28,7092.23,7070.16,6695.18,6985.03,6523.5,6377.96
"TOP2A",2177.322,2302.032,2338.322,1756.408,1763.324,1953.155,1907.533,1909.435,1867.635,2375.253,2415.066,2564.11,2138.053,2221.817,2240.775,2033.001,1993.808,1981.198,1935.092,2057.613,1758.182,1903.81,1828.55,1870.22
"TOP2B",1361.65,1334.86,1373.57,1277.83,1277.31,1206.18,1246.34,1233.83,1131.3,1257.31,1204.51,1262.02,1308.39,1312.01,1370.24,1324.68,1223.56,1246,1291.02,1312.27,1095.29,1260.64,1170.53,1084.08
"TOR1A",97.118,101.471,100.772,80.6519,91.5738,85.6035,98.6656,101.597,102.592,84.9532,97.3573,95.2728,85.1914,89.8242,81.3957,88.571,100.172,86.9393,89.3268,88.8231,95.5799,95.7457,85.7723,111.449
"TOR1AIP1",917.0977,838.5733,885.3818,780.8495,749.1092,822.3135,819.3237,787.6644,836.0629,835.0827,779.5639,828.5029,838.777,837.1168,832.6698,852.1062,831.0974,820.4632,838.4738,821.9016,862.7832,891.3268,797.8492,813.5553
"TOR1AIP2",328.064,346.736,326.167,299.875,308.927,320.787,282.608,309.244,316.767,320.36,356.335,328.331,353.298,343.016,356.465,320.591,308.039,321.469,312.413,298.67,351.058,284.58,275.125,293.563
"TOR1B",124.311,95.0917,76.6234,81.3123,89.8366,83.4559,100.833,93.6398,95.1441,98.9754,81.5068,82.3881,84.4453,83.3184,80.6819,85.6567,84.0141,84.7468,86.8746,88.7961,89.7252,111.6,103.157,96.6385
"TOX4",142.177,133.251,138.012,137.739,124.726,138.581,135.034,138.086,124.654,139.925,132.152,140.122,126.265,136.308,142.821,124.64,123.298,135.415,129.083,137.194,125.883,127.971,144.911,137.68
"TP53BP1",1281.14,1281.66,1272.76,1193.16,1195.78,1151.62,1183.27,1183.3,1174.25,1228.86,1215.95,1210.33,1234.13,1244.5,1255.65,1270.63,1210.47,1203.06,1203.58,1161.68,1162.23,1229.92,1160.17,1215.66
"TP53BP2",75.8651,73.2626,81.6344,87.3027,75.8059,79.5698,91.9763,79.2423,83.7843,87.705,83.7491,81.9833,89.4267,76.0131,85.9623,79.1623,75.9782,77.5091,91.1902,83.9499,82.2887,86.567,77.2427,75.0479
"TP53I3",167.864,177.369,157.99,173.381,185.054,151.258,175.305,179.14,170.913,172.821,171.213,163.242,175.685,178.39,171.564,177.706,187.315,157.448,189.735,180.879,168.269,164.385,180.706,141.005
"TP53INP2",365.447,388.853,363.389,382.392,377.878,361.799,361.127,350.614,333.793,382.23,381.2,383.028,385.636,380.962,383.402,384.194,387.765,372.951,370.693,371.272,338.489,364.765,364.226,301.793
"TP53RK",508.04,516.678,501.417,519.789,528.714,501.18,493.798,506.845,487.217,512.15,501.385,505.229,515.531,508.98,484.215,525.388,501.924,499.927,514.72,515.703,497.364,558.549,516.852,511.747
"TPD52",675.136,695.444,668.027,603.804,663.087,646.173,636.786,674.978,664.256,681.602,679.993,641.292,725.993,708.207,731.272,658.131,700.855,638.578,691.516,708.069,721.483,698.865,728.513,606.897
"TPD52L1",603.127,593.014,631.322,602.022,608.701,643.973,672.267,626.615,654.838,804.802,750.534,739.777,639.306,645.891,610.809,600.577,632.831,639.48,707.309,698.182,696.224,759.238,721.465,679.94
"TPD52L2",3117.72,3134.95,3121.78,3259.63,3301.32,3244.33,3264.28,3165.95,3201.83,3328.45,3214.46,3132.37,3223.71,3152.83,3112.54,3202.25,3292.39,3164.04,3315.37,3318.67,3479.04,3393.49,3310.91,3145.72
"TPI1",7598.46,7435.31,6911.25,7172.84,7217.41,7158.06,7136.66,7522.49,7875.97,7405.81,7464.83,6722.67,7951.5,7537.23,6986.16,7284.4,7928.46,7155.84,7196.6,7242.29,8646.54,8003.14,8678.36,8283.42
"TPM1",3886.471,3680.873,3675.45,3401.61,3643.668,3654.355,3803.788,3566.829,4021.154,3687.451,3622.032,3547.714,3902.433,3871.422,3741.862,3797.809,3807.937,3710.984,3758.373,3711.847,4056.731,3959.825,3807.852,3893.143
"TPM3",3466.475,3435.913,3486.279,3321.429,3267.019,3268.999,3423.514,3410.122,3565.818,3396.058,3307.967,3229.359,3545.43,3396.884,3290.51,3414.787,3544.485,3462.912,3541.742,3449.608,3739.877,3963.098,3713.522,3748.208
"TPM4",1673.7638,1684.885,1586.567,1422.9118,1377.0796,1353.1015,1658.8217,1616.81,1683.3781,1607.108,1602.517,1463.5265,1694.2509,1623.685,1556.3618,1679.8251,1693.8262,1599.2455,1634.4969,1594.577,1679.3593,1839.7298,1737.164,1653.2896
"TPMT",876.692,828.168,897.094,851.371,865.066,892.125,879.513,857.878,884.289,872.838,844.655,894.803,874.517,848.011,865.764,850.785,865.875,884.197,870.751,871.735,938.998,810.15,820.653,813.257
"TPP1",733.398,739.596,703.83,783.406,818.783,746.968,828.948,810.701,804.304,876.105,880.271,777.051,789.235,743.801,703.898,788.07,794.754,750.595,850.39,823.608,821.944,717.304,758.81,761.241
"TPP2",3315.94,3274.78,3231.11,3111.23,3124.36,3101.14,3230.21,3162.13,3076.79,3242.86,3256.64,3233.57,3197.07,3247.36,3279.92,3214.43,3226.19,3188.45,3305.76,3272.64,3131.2,3250.45,3120.15,3206.89
"TPR",6230.64,6098.67,6122.18,5592.84,5696.05,5515.54,5807.04,5947.3,5821.71,6278.72,6216.13,6098.05,6113.75,6092.42,6073.68,5991.17,5773.92,5797.24,6097.8,5961.77,5863.59,6562.43,6366.23,6197.55
"TPRKB",66.1841,55.5492,42.3146,38.7814,46.45,42.355,48.1319,44.4425,43.7077,46.9386,50.3407,45.0154,42.3198,48.9529,47.698,40.5344,41.7514,43.6228,44.444,49.0081,43.2423,29.2783,48.7691,46.5262
"TPRN",191.341,148.14,134.877,184.958,150.96,143.312,183.974,154.197,167.597,184.701,159.599,149.908,190.881,153.917,154.566,186.138,150.666,133.331,180.644,156.724,162.065,194.974,142.698,169.094
"TPT1",2727.68,2738.76,2822.69,2867.84,2804.04,2872.65,2726.17,2881.93,2852,2654.44,2679.25,2840.6,2738.69,2715.66,2614.04,2719.36,2855.78,2773.76,2891.6,3013.58,3157.28,3186.37,3374.74,3055.35
"TPX2",282.212,287.232,313.131,239.451,200.252,213.164,252.865,256.463,230.631,345.118,363.598,362.124,284.717,285.936,262.421,257.737,229.171,238.391,222.548,225.862,198.816,274.941,258.31,225.333
"TRA2A",634.735,622.625,641.656,648.556,642.252,636.483,632.94,662.9,618.248,643.014,658.731,663.382,661.499,628.878,637.4,638.582,639.687,631.766,620.378,634.611,649.398,656.248,653.995,607.615
"TRA2B",1051.64,1023.9,1056.88,1024.1,1003.8,1011.89,1004.99,1018.23,1015.13,1022.65,1018.61,998.427,1046.64,1038.95,1041.01,1031.16,1007.18,1027.32,1049.72,1037.12,1016.45,1122.41,1103.29,1082.53
"TRABD",93.5447,91.1887,96.9302,102.557,80.0051,87.6399,94.1949,93.4943,94.521,101.343,98.3993,93.8134,94.6921,99.7591,93.9197,80.2176,85.8378,94.322,93.5631,100.248,87.1526,95.7779,101.916,85.8199
"TRADD",186.762,194.738,171.132,173.772,162.477,187.209,194.394,189.862,204.737,190.48,188.462,201.338,193.418,191.05,178.725,187.394,203.499,188.033,200.447,198.519,209.264,157.09,152.578,163.612
"TRAF2",448.383,441.111,444.944,412.663,375.737,383.847,450.944,413.055,436.583,437.196,424.889,420.3,447.513,417.109,422.675,439.712,441.545,444.718,448.739,419.901,437.005,430.265,453.275,425.241
"TRAFD1",24.1972,17.9448,30.8304,33.2222,21.1968,26.1638,29.7401,16.9633,21.8474,24.4491,16.9557,17.0383,27.2045,21.6067,26.9545,29.9202,20.849,25.5655,23.5384,17.6183,20.0411,24.0254,16.0725,16.3954
"TRAM1",1303.17,1217.1,1245.42,1358.52,1310.71,1258.34,1379.16,1273.7,1335.24,1475.44,1387.73,1405.33,1385.13,1274,1301.41,1312.09,1301.44,1299.74,1402.75,1367.49,1457.95,1551.56,1508.07,1423.24
"TRAM2",102.298,111.137,104.029,88.0776,125.324,99.2986,103.836,106.384,98.4066,115.622,123.635,108.54,98.5175,107.771,110.99,96.6609,104.848,97.427,103.952,114.505,97.3687,116.372,116.634,116.641
"TRAPPC1",235.547,223.245,231.349,245.769,244.743,264.392,243.853,229.663,244.332,246.442,227.455,231.184,260.367,237.752,248.551,238.013,235.28,254.648,262.271,230.567,262.767,215.147,198.288,217.287
"TRAPPC11",65.1548,66.4147,69.5172,62.2505,67.5938,69.1267,75.1139,64.8467,65.9198,69.1276,71.8542,71.5657,79.7801,65.7619,73.0573,55.6979,68.2908,69.7581,69.1854,72.5784,77.3658,73.7323,70.8849,76.7826
"TRAPPC12",81.3286,80.7957,85.6443,66.4953,68.9224,70.4724,88.2213,92.5724,88.2568,76.7742,83.649,90.3501,79.1041,75.6672,74.7994,84.2963,86.5756,91.3504,66.008,71.765,75.1851,80.6884,87.3122,85.5942
"TRAPPC13",69.8641,77.6642,72.2784,65.6492,68.4747,70.8422,69.6192,65.994,71.5487,67.5717,65.8401,74.8257,75.8251,74.2794,81.6676,67.1812,71.8767,71.7433,67.8554,70.7753,73.1222,68.1827,73.2619,68.4223
"TRAPPC2L",342.162,340.846,355.262,327.852,327.797,337.764,380.802,380.061,380.249,442.012,449.319,425.478,338.692,331.167,325.037,356.596,329.74,349.705,380.98,377.125,384.209,372.863,365.88,364.338
"TRAPPC3",192.951,195.462,183.694,186.275,194.2,195.032,198.526,208.694,194.629,199.315,196.89,177.343,198.835,194.731,197.636,200.782,199.499,184.428,196.646,202.923,189.231,168.602,169.119,161.409
"TRAPPC4",71.1438,75.4883,71.0157,73.4403,72.063,76.6518,69.3609,73.3001,66.0774,76.3654,67.8551,63.9747,76.8652,75.2412,68.4704,78.6069,73.1759,68.5633,80.2477,70.2395,73.5858,69.0172,63.5499,62.684
