"","Control 2h","Control 2h_2","Control 2h_3","Control 6h_1","Control 6h_2","Control 6h_3","Control 10h_1","Control 10h_2","Control 10h_3","Control 24h_1","Control 24h_2","Control 24h_3","Virus 2h_1","Virus 2h_2","Virus 2h_3","Virus 6h_1","Virus 6h_2","Virus 6h_3","Virus 10h_1","Virus 10h_2","Virus 10h_3","Virus 24h_1","Virus 24h_2","Virus 24h_3"
"NPR3",52.8695,38.8549,53.0917,51.6541,40.9184,47.7444,47.2744,42.5932,43.3132,58.2197,45.412,48.0567,55.1514,40.1525,50.0444,47.314,46.735,49.3019,50.2432,36.6005,55.9678,49.5615,55.8476,52.2699
"NPTN",241.347,218.625,353.822,223.864,214.758,211.493,252.394,225.169,261.732,240.272,218.254,235.696,229.155,220.389,234.301,239.399,218.215,232.864,265.784,214.718,211.239,250.189,201.214,195.843
"NQO1",794.775,617.951,644.142,629.644,447.221,456.007,824.848,609.191,591.071,845.006,623.193,665.489,829.517,617.018,668.239,821.227,593.443,602.236,845.693,628.282,579.245,966.923,682.346,630.654
"NQO2",758.322,793.744,801.261,752.404,782.841,801.885,755.906,809.376,820.938,781.422,808.164,796.491,800.044,796.703,800.546,774.558,784.224,796.886,814.582,794.857,865.062,741.666,816.04,757.577
"NR2C2AP",129.45,130.553,124.373,134.135,138.446,126.9,129.821,136.125,119.937,129.833,134.674,139.394,126.687,132.742,133.696,125.325,126.103,125.032,124.376,132.038,134.081,154.423,139.522,119.54
"NR2F2",15.515,8.11961,14.3536,17.1408,6.65908,14.9229,13.2597,7.38303,12.4285,18.4496,9.83725,15.2542,15.912,8.42037,18.0348,13.4501,7.04726,13.7142,12.9576,7.14602,14.9038,13.7304,7.23908,8.92397
"NR3C1",248.742,259.793,256.683,228.376,251.634,251.014,243.769,253.821,250.258,257.935,274.506,246.98,254.443,257.828,265.77,233.175,259.897,259.512,257.451,265.721,266.416,239.736,239.761,248.441
"NR5A1",1371.54,1276.09,1395.72,1339.86,1310.38,1382.18,1450.4,1329.15,1409.45,1421.55,1331,1374.51,1334.13,1273.42,1417.28,1413.57,1288.36,1378.98,1478.37,1358.51,1464.43,1547.26,1482.98,1491.56
"NRAS",52.5172,48.1874,46.335,71.4925,50.397,51.6852,58.6936,43.8233,48.4996,53.4438,52.8075,44.5958,64.3044,52.9758,56.4042,62.0898,47.5872,46.4127,56.7191,49.2117,50.0082,71.0362,57.2406,53.425
"NRBF2",593.886,604.598,541.415,610.578,636.726,570.784,576.53,581.828,563.596,569.257,588.492,540.295,585.102,609.359,571.168,586.5,601.553,549.898,610.137,627.029,576.583,543.058,543.5,498.551
